Fixed_Radius	480
1010	37		-110
1010	74		-262
1011	90		-369
1017	66		-364
1027	14		-314
1031	24		-409
1033	24		-459
1037	15		-498
1042	8		-558
1048	-11		-574
1056	-54		-539
1061	-50		-621
1066	-74		-620
1072	-107	-609
1079	-134	-619
1087	-170	-603
1094	-196	-601
1103	-242	-576
1112	-292	-518
1118	-326	-508
1128	-375	-457
1136	-413	-440
1144	-452	-417
1153	-514	-344
1165	-573	-283
1173	-619	-235
1182	-673	-181
1192	-719	-145
1204	-786	-66
1213	-853	23
1225	-909	74
1225	-909	74
1002	11		30
1002	11		30
981		15		63
981		15		63
964		-1		115
964		-1		115
949		-12		157
949		-12		157
934		-29		205
934		-29		205
920		-42		244
920		-42		244
908		-65		293
908		-65		293
894		-76		328
894		-76		328
880		-85		358
880		-85		358
868		-97		386
868		-97		386
856		-118	424
856		-118	424
845		-118	436
845		-118	436
835		-141	471
835		-141	471
825		-153	492
825		-153	492
814		-158	506
814		-158	506
814		-158	506
814		-158	506
Fixed_Radius	720
1014	24		-42
1017	18		-52
1024	9		-62
1023	11		-84
1027	5		-95
1031	-3		-102
1034	-13		-109
1037	-17		-122
1042	-28		-126
1048	-43		-128
1051	-52		-133
1058	-73		-125
1062	-82		-133
1069	-100	-128
1074	-116	-127
1080	-135	-121
1087	-158	-111
1092	-171	-112
1100	-198	-97
1107	-220	-87
1113	-244	-77
1119	-262	-70
1128	-291	-54
1134	-314	-43
1142	-341	-28
1151	-369	-12
1158	-394	1
1166	-425	20
1174	-452	37
1182	-482	56
1189	-511	73
1198	-541	92
1002	11		30
1002	11		30
981		15		63
981		15		63
964		-1		115
964		-1		115
949		-12		157
949		-12		157
934		-29		205
934		-29		205
920		-42		244
920		-42		244
908		-65		293
908		-65		293
894		-76		328
894		-76		328
880		-85		358
880		-85		358
868		-97		386
868		-97		386
856		-118	424
856		-118	424
845		-118	436
845		-118	436
835		-141	471
835		-141	471
825		-153	492
825		-153	492
814		-158	506
814		-158	506
814		-158	506
814		-158	506
Fixed_Radius	1024
1021	8		-20
1021	18		-44
1026	10		-50
1029	11		-64
1034	6		-71
1039	3		-85
1044	-2		-92
1048	-9		-99
1054	-19		-103
1060	-30		-106
1068	-40		-109
1072	-48		-114
1077	-56		-120
1084	-71		-118
1093	-89		-114
1100	-103	-113
1107	-118	-111
1114	-134	-108
1122	-151	-104
1130	-169	-100
1138	-189	-93
1147	-212	-83
1158	-239	-70
1165	-257	-64
1174	-282	-53
1185	-308	-41
1194	-333	-28
1204	-361	-14
1214	-388	0
